Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Fuselage,48.448179,44.528893,16.747698,16.444557
MainWing,31.317714,29.799249,3.243381,3.243381
MainWing,31.317714,29.799249,3.243381,3.243381
HTail,8.748633,8.037153,0.482569,0.473614
HTail,8.748633,8.037153,0.482569,0.473614
VTail,8.546755,7.916714,0.488311,0.483218
Totals,137.127628,128.118412,24.687910,24.361773

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Fuselage_S_Surf0,48.448179,44.528893
MainWing_S_Surf0,24.341830,22.890886
MainWing_S_Surf1,24.341830,22.890886
HTail_S_Surf0,5.644270,5.121836
HTail_S_Surf1,5.644270,5.121836
VTail_S_Surf0,5.123993,4.679075
MainWing_S_Surf0,SS_CONT_0,0.831908,0.831908
MainWing_S_Surf0,SS_CONT_1,6.143976,6.076455
MainWing_S_Surf1,SS_CONT_0,0.831908,0.831908
MainWing_S_Surf1,SS_CONT_1,6.143976,6.076455
HTail_S_Surf0,SS_CONT_0,3.104363,2.915317
HTail_S_Surf1,SS_CONT_0,3.104363,2.915317
VTail_S_Surf0,SS_CONT_0,3.422762,3.237639

SS_Name, SS_Theo_Area, SS_Wet_Area
MainWing,SS_CONT_0,1.663816,1.663816
MainWing,SS_CONT_1,12.287953,12.152911
HTail,SS_CONT_0,6.208727,5.830634
VTail,SS_CONT_0,3.422762,3.237639
